"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2010,"Alguersuari","Toro Rosso",19,0,0,5,15.2631578947368,13.2105263157895,2,0.894736842105263,2.83529411764706
2010,"Alonso","Ferrari",19,5,10,252,5.78947368421053,5.63157894736842,2,0.894736842105263,10.9666666666667
2010,"Barrichello","Williams",19,0,0,47,9.42105263157895,11.4736842105263,2,0.894736842105263,4.15294117647059
2010,"Buemi","Toro Rosso",19,0,0,8,14.7894736842105,15.4736842105263,6,0.684210526315789,3.00714285714286
2010,"Button","McLaren",19,2,7,214,6.84210526315789,6.63157894736842,2,0.894736842105263,10.4176470588235
2010,"Chandhok","HRT",10,0,0,0,23.3,18.5,4,0.6,2
2010,"de la Rosa","Sauber",14,0,0,6,14.4285714285714,18.2857142857143,7,0.5,3.27142857142857
2010,"di Grassi","Virgin",19,0,0,0,22.0526315789474,21.1052631578947,8,0.578947368421053,1.68
2010,"Glock","Virgin",19,0,0,0,20.2105263157895,21.1052631578947,9,0.526315789473684,1.72
2010,"Hamilton","McLaren",19,3,9,240,5.15789473684211,7.10526315789474,4,0.789473684210526,11.76875
2010,"Heidfeld","Sauber",5,0,0,6,13.4,14,1,0.8,3.45
2010,"Hülkenberg","Williams",19,0,0,22,11.2105263157895,14.6842105263158,4,0.789473684210526,3.15333333333333
2010,"Klien","HRT",3,0,0,0,23,22.3333333333333,1,0.666666666666667,0.85
2010,"Kobayashi","Sauber",19,0,0,32,13.9473684210526,15.8947368421053,8,0.578947368421053,4.90909090909091
2010,"Kovalainen","Lotus",19,0,0,0,18.8947368421053,18.3684210526316,6,0.684210526315789,2.00769230769231
2010,"Kubica","Renault",19,0,3,136,6.94736842105263,8.94736842105263,3,0.842105263157895,7.9875
2010,"Liuzzi","Force India",19,0,0,21,15.0526315789474,15.5789473684211,7,0.631578947368421,3.69230769230769
2010,"Massa","Ferrari",19,0,5,144,7.73684210526316,8.05263157894737,1,0.947368421052632,7.40555555555556
2010,"Petrov","Renault",19,0,0,27,14.1578947368421,15,6,0.684210526315789,3.79285714285714
2010,"Rosberg","Mercedes",19,0,3,142,7.36842105263158,8.89473684210526,3,0.842105263157895,8.26875
2010,"Schumacher","Mercedes",19,0,0,72,9.94736842105263,10.3684210526316,2,0.894736842105263,5.45882352941176
2010,"Senna","HRT",18,0,0,0,22.2222222222222,21.2222222222222,9,0.5,1.81111111111111
2010,"Sutil","Force India",19,0,0,47,12.1578947368421,13.0526315789474,4,0.789473684210526,4.70666666666667
2010,"Trulli","Lotus",19,0,0,0,18.8421052631579,20.5263157894737,11,0.421052631578947,1.36363636363636
2010,"Vettel","Red Bull",19,5,10,256,1.94736842105263,7,3,0.842105263157895,11.9
2010,"Webber","Red Bull",19,4,10,242,2.78947368421053,6.21052631578947,2,0.894736842105263,11.0647058823529
2010,"Yamamoto","HRT",7,0,0,0,22.7142857142857,19.1428571428571,1,0.857142857142857,1.53333333333333
2011,"Alguersuari","Toro Rosso",19,0,0,26,14.6315789473684,13.8947368421053,4,0.789473684210526,3.66875
2011,"Alonso","Ferrari",19,1,10,257,4.57894736842105,4.57894736842105,1,0.947368421052632,11.3666666666667
2011,"Barrichello","Williams",19,0,0,4,14.8421052631579,15.1052631578947,3,0.842105263157895,2.32
2011,"Buemi","Toro Rosso",19,0,0,15,14.5789473684211,14.8421052631579,5,0.736842105263158,3.64285714285714
2011,"Button","McLaren",19,3,12,270,4.47368421052632,5.36842105263158,2,0.894736842105263,12.2411764705882
2011,"Chandhok","Lotus",1,0,0,0,20,20,0,1,0.6
2011,"d'Ambrosio","Virgin",19,0,0,0,21.8947368421053,19.2631578947368,3,0.842105263157895,1.5
2011,"de la Rosa","Sauber",1,0,0,0,17,12,0,1,2.9
2011,"di Resta","Force India",19,0,0,27,11.6842105263158,11.7894736842105,2,0.894736842105263,3.36111111111111
2011,"Glock","Virgin",19,0,0,0,20.7368421052632,20.1578947368421,5,0.736842105263158,1.38461538461538
2011,"Hamilton","McLaren",19,3,6,227,3.57894736842105,7.10526315789474,3,0.842105263157895,11.1875
2011,"Heidfeld","Renault",11,0,1,34,13.3636363636364,13,3,0.727272727272727,5.61428571428571
2011,"Karthikeyan","HRT",9,0,0,0,23,20.7777777777778,1,0.888888888888889,1.18571428571429
2011,"Kobayashi","Sauber",19,0,0,30,13.8421052631579,13.5789473684211,4,0.789473684210526,3.93571428571429
2011,"Kovalainen","Lotus",19,0,0,0,18.1052631578947,18.2631578947368,5,0.736842105263158,1.8
2011,"Liuzzi","HRT",18,0,0,0,22.2941176470588,21.5,5,0.722222222222222,1.01666666666667
2011,"Maldonado","Williams",19,0,0,1,14.5789473684211,17.8947368421053,7,0.631578947368421,2.03076923076923
2011,"Massa","Ferrari",19,0,0,118,5.78947368421053,9.31578947368421,3,0.842105263157895,7.1375
2011,"Pérez","Sauber",18,0,0,14,14,15.3888888888889,5,0.722222222222222,3.3
