"year","round","race_name","circuit","circuit_type","country","location","driver","driver_nationality","constructor","constructor_nationality","grid","position","points","status","q1","q2","q3","qualifying_position","constructor_prestige"
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Alonso","Spanish","Ferrari","Italian",3,"1",25,"Finished","1:54.612","1:54.172","1:54.608",3,2
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Massa","Brazilian","Ferrari","Italian",2,"2",18,"Finished","1:55.313","1:54.331","1:54.242",2,2
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Hamilton","British","McLaren","British",4,"3",15,"Finished","1:55.341","1:54.707","1:55.217",4,3
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Vettel","German","Red Bull","Austrian",1,"4",12,"Finished","1:55.029","1:53.883","1:54.101",1,2
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Rosberg","German","Mercedes","German",5,"5",10,"Finished","1:55.463","1:54.682","1:55.241",5,1
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Schumacher","German","Mercedes","German",7,"6",8,"Finished","1:55.593","1:55.105","1:55.524",7,1
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Button","British","McLaren","British",8,"7",6,"Finished","1:55.715","1:55.168","1:55.672",8,3
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Webber","Australian","Red Bull","Austrian",6,"8",4,"Finished","1:55.298","1:54.318","1:55.284",6,2
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Liuzzi","Italian","Force India","Indian",12,"9",2,"Finished","1:55.628","1:55.623","\N",12,5
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Barrichello","Brazilian","Williams","British",11,"10",1,"Finished","1:55.969","1:55.330","\N",11,4
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Kubica","Polish","Renault","French",9,"11",0,"Finished","1:55.511","1:54.963","1:55.885",9,4
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Sutil","German","Force India","Indian",10,"12",0,"Finished","1:55.213","1:54.996","1:56.309",10,5
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Alguersuari","Spanish","Toro Rosso","Italian",18,"13",0,"Finished","1:57.071","\N","\N",18,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Hülkenberg","German","Williams","British",13,"14",0,"+1 Lap","1:56.375","1:55.857","\N",13,4
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Kovalainen","Finnish","Lotus","Malaysian",21,"15",0,"+2 Laps","2:00.313","\N","\N",21,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Buemi","Swiss","Toro Rosso","Italian",15,"16",0,"Electrical","1:56.189","1:56.265","\N",15,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Trulli","Italian","Lotus","Malaysian",20,"17",0,"Hydraulics","1:59.852","\N","\N",20,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","de la Rosa","Spanish","Sauber","Swiss",14,"\N",0,"Hydraulics","1:56.428","1:56.237","\N",14,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Senna","Brazilian","HRT","Spanish",23,"\N",0,"Overheating","2:03.204","\N","\N",23,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Glock","German","Virgin","British",19,"\N",0,"Gearbox","1:59.728","\N","\N",19,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Petrov","Russian","Renault","French",17,"\N",0,"Suspension","1:56.167","1:56.619","\N",17,4
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Kobayashi","Japanese","Sauber","Swiss",16,"\N",0,"Hydraulics","1:56.541","1:56.270","\N",16,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","di Grassi","Brazilian","Virgin","British",22,"\N",0,"Hydraulics","2:00.587","\N","\N",22,6
2010,1,"Bahrain Grand Prix","Bahrain International Circuit","Permanent Race Circuit","Bahrain","Sakhir","Chandhok","Indian","HRT","Spanish",24,"\N",0,"Accident","2:04.904","\N","\N",24,6
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Button","British","McLaren","British",4,"1",25,"Finished","1:24.897","1:24.531","1:24.675",4,3
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Kubica","Polish","Renault","French",9,"2",18,"Finished","1:25.588","1:25.122","1:25.372",9,4
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Massa","Brazilian","Ferrari","Italian",5,"3",15,"Finished","1:25.548","1:25.010","1:24.837",5,2
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Alonso","Spanish","Ferrari","Italian",3,"4",12,"Finished","1:25.082","1:24.335","1:24.111",3,2
2010,2,"Australian Grand Prix","Albert Park Grand Prix Circuit","Street Circuit","Australia","Melbourne","Rosberg","German","Mercedes","German",6,"5",10,"Finished","1:24.788","1:24.788","1:24.884",6,1
