Variable,Type,Description,Range/Values,Marketing Relevance
year,Continuous (Integer),The year in which the Grand Prix race took place.,2010-2020,"Useful for analyzing trends over time, comparing different eras of F1, tracking historical performance, and understanding how regulations or technology changes impact competition."
circuit,Categorical (String),The official name of the circuit where the race was held.,"Names of F1 circuits (e.g., 'Albert Park Grand Prix Circuit', 'Circuit de Monaco', 'Silverstone Circuit')","Allows for analysis specific to track characteristics, helps target promotions for specific race events, and understands circuit-specific performance patterns for teams and drivers."
circuit_type,Categorical (String),"Classification of the circuit (e.g., street circuit, permanent road course).","Descriptive categories like 'Street', 'Road'","Helps analyze performance based on track type, understand how different car setups perform, and tailor marketing content to highlight unique challenges."
location,Categorical (String),The city or geographical area where the circuit is located.,"City names or regions (e.g., 'Melbourne', 'Monte Carlo', 'Silverstone')","Enables geo-targeted marketing campaigns, analysis of regional fan bases, understanding market potential in different locations, and logistics planning for sponsors."
driver,Categorical (String),The full name of the driver participating in the race.,"Names of Formula 1 drivers (e.g., 'Lewis Hamilton', 'Max Verstappen')","Central to tracking driver performance, popularity, and marketability for endorsements. Used for fan engagement analysis and building narratives around individual competitors."
constructor,Categorical (String),The name of the constructor (team) the driver raced for.,"Names of Formula 1 constructors (e.g., 'Ferrari', 'Mercedes', 'Red Bull')","Essential for analyzing team performance, brand strength, fan loyalty, and evaluating sponsorship value and ROI associated with specific teams."
grid,Continuous (Integer),"The driver's starting position on the race grid, determined by qualifying.","0 (Pit Lane), 1 up to the maximum number of cars starting the race",Impacts pre-race predictions and analysis of race strategy. Higher grid slots generally correlate with better sponsor visibility at the start and potentially better race outcomes.
position,Continuous (Integer),The driver's official finishing position in the race.,1 up to the number of classified finishers,"A primary measure of race success for drivers and teams. Used for rankings, performance tracking, and demonstrating competitiveness to fans and sponsors."
points,Continuous (Float/Integer),Points awarded to the driver based on their finishing position.,"Depends on the season's scoring system (e.g., 0, 1, 2, 4, 6, 8, 10, 12, 15, 18, 25)",Key metric for championship standings and measuring season-long success. Directly impacts perceived value and success narrative for drivers and teams.
status,Categorical (String),Describes the driver's status at the end of the race.,"'Finished', '+1 Lap', 'Engine', 'Collision', 'Gearbox', 'Disqualified'",Provides insights into reliability and race incidents. Impacts brand perception (especially for engine/component suppliers) and helps analyze factors affecting race outcomes beyond pure pace.
qualifying_position,Continuous (Integer),The position the driver achieved during the qualifying session(s).,1 up to the number of drivers participating in qualifying,"Measures raw pace and single-lap performance. Used to analyze qualifying impact on race results, driver skill, and car competitiveness over one lap."
constructor_prestige,Ordinal,A derived variable indicating the historical standing or perceived level of the constructor.,"Categories (e.g., 'High', 'Medium', 'Low') or Tiers","Useful for segmenting teams for analysis, understanding competitive dynamics beyond current points, and potentially informing sponsorship value assessment based on brand equity."
race_completed,Categorical (Binary),A derived indicator signifying whether the driver completed a sufficient portion of the race distance.,"True/False, 1/0",Measures reliability and consistency. Finishing races is crucial for scoring points and impacts the perception of competence for both driver and team.
position_change,Continuous (Integer),A derived variable calculated as the difference between starting and finishing positions.,"Positive integers (gained places), negative integers (lost places), 0 (no change)","Highlights driver race craft, overtaking ability, and strategic effectiveness during the race. Positive changes create exciting narratives for fan engagement and media coverage."
races,Continuous (Integer),Could represent the cumulative number of races a driver or constructor has participated in.,1 up to the maximum number of races entered by any entity,Indicates experience level and longevity in the sport. Can be used in historical comparisons and adds context to performance analysis.
dnf,Categorical (Binary),A derived indicator signifying that the driver Did Not Finish the race.,"True/False, 1/0",A key statistic for reliability analysis. High DNF rates can negatively impact brand image and are crucial for understanding consistency and championship potential.
